what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.aptana.editor.js.formatter,3.0.3.1314737265,"com.aptana.editor.js.formatter",1322138097207
stopped,bundle,com.aptana.editor.json,3.0.0.1319152794,"com.aptana.editor.json",1322138097207
stopped,bundle,com.aptana.formatter.ui.epl,3.0.0.1312843714,"com.aptana.formatter.ui.epl",1322138097207
stopped,bundle,com.aptana.editor.dtd,3.0.0.1311639141,"com.aptana.editor.dtd",1322138097208
stopped,bundle,com.aptana.editor.idl,3.0.0.1311639141,"com.aptana.editor.idl",1322138097208
stopped,bundle,com.aptana.editor.js,3.0.3.1319152794,"com.aptana.editor.js",1322138097208
stopped,bundle,com.aptana.editor.php.epl,3.0.0.1319152896,"com.aptana.editor.php.epl",1322138097208
stopped,bundle,com.aptana.editor.ruby,3.0.3.1319152922,"com.aptana.editor.ruby",1322138097208
stopped,bundle,com.aptana.ruby.ui,3.0.2.1316214156,"com.aptana.ruby.ui",1322138097208
stopped,bundle,com.aptana.samples.ui,3.0.0.1312506222,"com.aptana.samples.ui",1322138097208
stopped,bundle,com.aptana.projects,3.0.0.1316213431,"com.aptana.projects",1322138097208
stopped,bundle,com.aptana.syncing.ui,3.0.3.1314828554,"com.aptana.syncing.ui",1322138097208
stopped,bundle,com.aptana.ui.secureftp,3.0.0.1308874042,"com.aptana.ui.secureftp",1322138097208
stopped,bundle,com.aptana.ui.ftp,3.0.0.1310755723,"com.aptana.ui.ftp",1322138097208
stopped,bundle,com.aptana.ui.s3,3.0.0.1304723165,"com.aptana.ui.s3",1322138097208
stopped,bundle,com.aptana.ui.io,3.0.0.1316802113,"com.aptana.ui.io",1322138097209
stopped,bundle,com.aptana.editor.text,3.0.0.1311639141,"com.aptana.editor.text",1322138097209
stopped,bundle,com.aptana.editor.yaml,3.0.0.1319152794,"com.aptana.editor.yaml",1322138097209
stopped,bundle,com.aptana.preview,3.0.0.1309394487,"com.aptana.preview",1322138097209
stopped,bundle,org.python.pydev.red_core,2.2.2.2011100512,"org.python.pydev.red_core",1322138097209
stopped,bundle,com.aptana.editor.common,3.0.3.1319164560,"com.aptana.editor.common",1322138097209
stopped,bundle,com.aptana.scripting.ui,3.0.0.1311950158,"com.aptana.scripting.ui",1322138097209
stopped,bundle,com.aptana.git.ui,3.0.3.1316207015,"com.aptana.git.ui",1322138097209
stopped,bundle,com.aptana.terminal,3.0.0.1310755723,"com.aptana.terminal",1322138097209
stopped,bundle,com.aptana.console,3.0.0.1311641900,"com.aptana.console",1322138097209
stopped,bundle,com.aptana.formatter.epl,3.0.0.1314045086,"com.aptana.formatter.epl",1322138097209
stopped,bundle,com.aptana.index.core.ui,3.0.0.1311981533,"com.aptana.index.core.ui",1322138097210
stopped,bundle,com.aptana.theme,3.0.0.1314215021,"com.aptana.theme",1322138097210
stopped,bundle,com.aptana.scripting,3.0.0.1319572975,"com.aptana.scripting",1322138098962
stopped,bundle,com.aptana.debug.ui,3.0.3.1311124046,"com.aptana.debug.ui",1322138098962
stopped,bundle,com.aptana.editor.findbar,3.0.0.1310755723,"com.aptana.editor.findbar",1322138098962
stopped,bundle,com.aptana.webserver.ui,3.0.0.1310755723,"com.aptana.webserver.ui",1322138098962
stopped,bundle,com.aptana.ui,3.0.3.1314215016,"com.aptana.ui",1322138098962
stopped,bundle,com.aptana.buildpath.core,3.0.0.1312481020,"com.aptana.buildpath.core",1322138098962
stopped,bundle,com.aptana.commandline.launcher,3.0.3.1312062042,"com.aptana.commandline.launcher",1322138098962
stopped,bundle,com.aptana.configurations,3.0.3.1310755723,"com.aptana.configurations",1322138098962
stopped,bundle,com.aptana.js.debug.core,3.0.3.1314048057,"com.aptana.js.debug.core",1322138098962
stopped,bundle,com.aptana.debug.core,3.0.3.1310755723,"com.aptana.debug.core",1322138098962
stopped,bundle,com.aptana.filesystem.secureftp,3.0.0.1308874042,"com.aptana.filesystem.secureftp",1322138098962
stopped,bundle,com.aptana.filesystem.ftp,3.0.0.1314213868,"com.aptana.filesystem.ftp",1322138098962
stopped,bundle,com.aptana.filesystem.s3,3.0.0.1308864319,"com.aptana.filesystem.s3",1322138098962
stopped,bundle,com.aptana.syncing.core,3.0.0.1308864319,"com.aptana.syncing.core",1322138098962
stopped,bundle,com.aptana.webserver.core,3.0.0.1310755723,"com.aptana.webserver.core",1322138098962
stopped,bundle,com.aptana.core.io,3.0.3.1314315087,"com.aptana.core.io",1322138098962
stopped,bundle,com.aptana.git.core,3.0.0.1316121758,"com.aptana.git.core",1322138098963
stopped,bundle,com.aptana.ruby.core,3.0.2.1311776175,"com.aptana.ruby.core",1322138098963
stopped,bundle,com.aptana.parsing,3.0.0.1311976829,"com.aptana.parsing",1322138098963
stopped,bundle,com.aptana.plist,3.0.0.1316453963,"com.aptana.plist",1322138098963
stopped,bundle,com.aptana.ruby.rake,3.0.0.1308880192,"com.aptana.ruby.rake",1322138098963
stopped,bundle,com.aptana.ruby.debug.core,3.0.2.1311864672,"com.aptana.ruby.debug.core",1322138098963
stopped,bundle,org.radrails.rails.core,3.0.2.1306194068,"org.radrails.rails.core",1322138098963
stopped,bundle,com.aptana.ruby.launching,3.0.2.1308324530,"com.aptana.ruby.launching",1322138098963
stopped,bundle,com.aptana.samples,3.0.0.1303246707,"com.aptana.samples",1322138098963
stopped,bundle,com.aptana.ui.epl,3.0.0.1319164560,"com.aptana.ui.epl",1322138098963
error,log,,,"An error occurred while shutting down the database",1322138102002
activated,perspective,org.eclipse.dltk.ruby.ui,,"org.eclipse.dltk.ruby.ui.RubyPerspective",1322138185264
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1322138185265
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1322138185266
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1322138185266
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1322138185302
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1322138185302
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1322138185303
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1322138185303
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1322138185303
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1322138185303
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1322138185304
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1322138185304
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1322138185304
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1322138185304
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1322138185335
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1322138185336
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1322138185336
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1322138185336
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1322138185336
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1322138185336
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1322138185336
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1322138185336
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1322138185337
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1322138185338
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1322138185338
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.R37x_v20110714,"org.eclipse.equinox.p2.artifact.repository",1322138185338
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1322138185476
started,bundle,org.eclipse.equinox.p2.director,2.1.0.v20110504-1715,"org.eclipse.equinox.p2.director",1322138185494
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1322138185495
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1322138185495
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110510,"org.eclipse.equinox.p2.extensionlocation",1322138185495
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1322138185496
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1322138185496
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1322138185521
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110511,"org.eclipse.equinox.p2.publisher",1322138185522
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1322138185522
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1322138185544
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.R37x_v20110815-0935,"org.eclipse.equinox.p2.touchpoint.eclipse",1322138185544
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1322138185544
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1322138185576
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1322138185576
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1322138185576
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1322138185576
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1322138185577
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1322138185577
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1322138185578
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1322138185578
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1322138185578
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1322138185578
